اذون اضافة الزيادات تفصيلية 

"التحديد";"م";"العملية";"المدخل";"كود الاذن";"التاريخ";"الوقت";"كود الصنف";"المخزن";"الصنف";"الوحدة";"الكمية";"السعر قبل";"التأثير";"الخصم %";"السعر";"الاجمالى"
"colchkbox";"moslsl";"title";"fuser";"idno_s";"fshortdate";"ftime";"fcodeunit";"fstorfrom";"fname";"funit";"fquntity";"fpr_sd";"fefect";"fpdis";"fpr_s";"gtot"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"اب داون 2248/2 ابيض بلاستيك لايت داي";"ك";"1.0000";"0.0000";"-";"0.0000";"30.0000";"30.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"ابليك 39 دهبي هوم لايت";"ك";"1.0000";"0.0000";"-";"0.0000";"297.0000";"297.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"ابليك s043 اسود(سوسته) هوم لايت";"ك";"1.0000";"0.0000";"-";"0.0000";"280.0000";"280.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"اسبوت دبله (اطار ابيض) ابيض هوم لايت";"ك";"1.0000";"0.0000";"-";"0.0000";"30.0000";"30.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"اسبوت دبله (اطار ابيض) ورم هوم لايت";"ك";"2.0000";"0.0000";"-";"0.0000";"30.0000";"60.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"اسبوت دبله (اطار اسود) اضاءه ورم توبرازر";"ك";"15.0000";"0.0000";"-";"0.0000";"20.0000";"300.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"باور سبلاي 12 فولت 200 وات 16.6 امبير المدهش ضمان 2 عام";"ك";"1.0000";"0.0000";"-";"0.0000";"180.0000";"180.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"بكرة ليد 120 كول هوم لايت";"ك";"1.0000";"0.0000";"-";"0.0000";"100.0000";"100.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"بكرة ليد 240 ابيض ستريب";"ك";"1.0000";"0.0000";"-";"0.0000";"95.0000";"95.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"جاك تليفزيون معدن";"ك";"1.0000";"0.0000";"-";"0.0000";"5.0000";"5.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"حجاره سخان احمر eveready";"ك";"1.0000";"0.0000";"-";"0.0000";"55.0000";"55.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"حجاره سخان اسود eveready";"ك";"1.0000";"0.0000";"-";"0.0000";"80.0000";"80.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"دايره ريموت 6 خط بلاستيك جرين لايت";"ك";"2.0000";"0.0000";"-";"0.0000";"195.0000";"390.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"دوايه اسبوت فرداني";"ك";"2.0000";"0.0000";"-";"0.0000";"2.5000";"5.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"دوايه بفيشه حائطيه";"ك";"3.0000";"0.0000";"-";"0.0000";"8.0000";"24.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"دوايه ديكور برو اناره";"قطعه";"1.0000";"0.0000";"-";"0.0000";"15.0000";"15.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"دوايه دلايه(سقط) ابيض  قلاووظ الوسام";"قطعه";"47.0000";"0.0000";"-";"0.0000";"6.2500";"293.7500000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"لمبه اشاره خط دايره";"ك";"1.0000";"0.0000";"-";"0.0000";"12.0000";"12.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"لمبه تلاجه عروسه";"ك";"1.0000";"0.0000";"-";"0.0000";"6.0000";"6.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"لمبه كاثه 5 وات ورم ويل ماكس ضمان 4 عام";"ك";"1.0000";"0.0000";"-";"0.0000";"39.0000";"39.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"لمبه كاثه 6 وات ابيض انرجي";"ك";"1.0000";"0.0000";"-";"0.0000";"28.0000";"28.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"لمبه كاثه 5 وات 3 لون توبرازر";"ك";"37.0000";"0.0000";"-";"0.0000";"20.0000";"740.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";"6224010365490";"محل 1";"لمبه ليد 20 وات ابيض المصري ضمان 3 عام";"ك";"1.0000";"0.0000";"-";"0.0000";"69.0000";"69.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"لمبه ليد 30 وات ابيض جرين لايت ضمان عام";"ك";"1.0000";"0.0000";"-";"0.0000";"48.0000";"48.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"لمبه ليد 5 وات ابيض  فورلايت";"ك";"2.0000";"0.0000";"-";"0.0000";"15.0000";"30.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"لمبه ليد بلحه 6 وات 3 لون هوم لايت ضمان 2 عام";"ك";"1.0000";"0.0000";"-";"0.0000";"33.0000";"33.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"لمبه نيون 60 سم جرين لايت";"ك";"1.0000";"0.0000";"-";"0.0000";"38.0000";"38.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"محول ريقم 120 ليد هوم لايت";"ك";"2.0000";"0.0000";"-";"0.0000";"17.0000";"34.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"محول سخان 3 فولت 2A باور تك";"ك";"1.0000";"0.0000";"-";"0.0000";"30.0000";"30.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"محول سوبر سليم 12 فولت 76 وات 6 امبير";"ك";"3.0000";"0.0000";"-";"0.0000";"110.0000";"330.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"محول علبه 12 فولت سيلفر";"ك";"2.0000";"0.0000";"-";"0.0000";"17.0000";"34.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"مفتاح خارج 2فاز 602 بتشينو";"ك";"1.0000";"0.0000";"-";"0.0000";"165.0000";"165.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"مفتاح خلاط مستطيل";"ك";"1.0000";"0.0000";"-";"0.0000";"7.0000";"7.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"قاطع اتوماتيك 63 امبير السويدي";"قطعه";"4.0000";"0.0000";"-";"0.0000";"75.0000";"300.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"قاطع اتوماتيك 25 امبير 6 ك شنيدر";"قطعه";"1.0000";"0.0000";"-";"0.0000";"155.0000";"155.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"كشاف 18 وات خارج ابيض هوم لايت";"ك";"1.0000";"0.0000";"-";"0.0000";"110.0000";"110.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"كشاف 26 وات خارج ابيض Y9";"ك";"1.0000";"0.0000";"-";"0.0000";"75.0000";"75.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"كشاف 36 وات داخل 3لون سمارت";"ك";"1.0000";"0.0000";"-";"0.0000";"97.0000";"97.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"كشاف 40 وات داخل ابيض كينو";"ك";"1.0000";"0.0000";"-";"0.0000";"90.0000";"90.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"كشاف 36 وات خارج ابيض مكه";"ك";"1.0000";"0.0000";"-";"0.0000";"125.0000";"125.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"لمبه ليد 30 وات ابيض جرين لايت ضمان عام";"ك";"1.0000";"0.0000";"-";"0.0000";"48.0000";"48.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"لمبه ليد 35 وات ابيض هوم لايت";"ك";"1.0000";"0.0000";"-";"0.0000";"65.0000";"65.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"علبه خارج الحائط (2 فتحه/1فتحه) الوسام";"ك";"15.0000";"0.0000";"-";"0.0000";"5.7000";"85.5000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"شاحن 12 فولت 1 امبير الماسه";"ك";"1.0000";"0.0000";"-";"0.0000";"26.5000";"26.5000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"قصدير لحام (ص) هوم لايت";"ك";"1.0000";"0.0000";"-";"0.0000";"70.0000";"70.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"قاطع اتوماتيك 16 امبير ABB";"قطعه";"3.0000";"0.0000";"-";"0.0000";"150.0000";"450.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"16";"04/04/2026 12:00:00 ص";"04/04/2026 11:26:00 ص";;"محل 1";"فيشه دكر كاوتش اسود انيرجي 16 امبير";"ك";"1.0000";"0.0000";"-";"0.0000";"33.2700";"33.2700000000000"
"True";"";" ";"ابراهيم الضويني ";"16";"04/04/2026 12:00:00 ص";"04/04/2026 11:26:00 ص";;"محل 1";"فيشه دكر مهام شاقه انيرجي 16 امبير فسفوري";"ك";"1.0000";"0.0000";"-";"0.0000";"77.2000";"77.2000000000000"
"True";"";" ";"ابراهيم الضويني ";"16";"04/04/2026 12:00:00 ص";"04/04/2026 11:26:00 ص";;"محل 1";"فيشه دكر احمال شاقه انيرجي 16 امبير احمر";"ك";"1.0000";"0.0000";"-";"0.0000";"77.2000";"77.2000000000000"
