اذون اضافة الزيادات تفصيلية 

"التحديد";"م";"العملية";"المدخل";"كود الاذن";"التاريخ";"الوقت";"كود الصنف";"المخزن";"الصنف";"الوحدة";"الكمية";"السعر قبل";"التأثير";"الخصم %";"السعر";"الاجمالى"
"colchkbox";"moslsl";"title";"fuser";"idno_s";"fshortdate";"ftime";"fcodeunit";"fstorfrom";"fname";"funit";"fquntity";"fpr_sd";"fefect";"fpdis";"fpr_s";"gtot"
"True";"";" ";"ابراهيم الضويني ";"16";"04/04/2026 12:00:00 ص";"04/04/2026 11:26:00 ص";;"محل 1";"فيشه نتايه بغطاء احمال شاقه انيرجي 16 امبير احمر";"ك";"1.0000";"0.0000";"-";"0.0000";"106.4800";"106.4800000000000"
"True";"";" ";"ابراهيم الضويني ";"16";"04/04/2026 12:00:00 ص";"04/04/2026 11:26:00 ص";;"محل 1";"فيشه نتايه كاوتش اسود انيرجي 16 امبير";"ك";"1.0000";"0.0000";"-";"0.0000";"38.0000";"38.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"16";"04/04/2026 12:00:00 ص";"04/04/2026 11:26:00 ص";;"محل 1";"فيشه نتايه مهام شاقه بغطاء انيرجي 16 امبير";"ك";"1.0000";"0.0000";"-";"0.0000";"106.4800";"106.4800000000000"
"True";"";" ";"ابراهيم الضويني ";"16";"04/04/2026 12:00:00 ص";"04/04/2026 11:26:00 ص";;"محل 1";"مشترك احمال شاقه 16 امبير انيرجي 4عين بدون سلك";"ك";"1.0000";"0.0000";"-";"0.0000";"196.9600";"196.9600000000000"
"True";"";" ";"ابراهيم الضويني ";"16";"04/04/2026 12:00:00 ص";"04/04/2026 11:26:00 ص";;"محل 1";"وصله كابل دكر ونتايه 5 م انرجي";"ك";"1.0000";"0.0000";"-";"0.0000";"259.5400";"259.5400000000000"
"True";"";" ";"ابراهيم الضويني ";"16";"04/04/2026 12:00:00 ص";"04/04/2026 11:26:00 ص";;"محل 1";"مشترك مكتب انيرجي 1.8 متر";"ك";"1.0000";"0.0000";"-";"0.0000";"698.2800";"698.2800000000000"
"True";"";" ";"ابراهيم الضويني ";"16";"04/04/2026 12:00:00 ص";"04/04/2026 11:26:00 ص";;"محل 1";"مشترك 4 عين بكره انيرجي 10 م";"ك";"1.0000";"0.0000";"-";"0.0000";"654.8600";"654.8600000000000"
"True";"";" ";"ابراهيم الضويني ";"17";"04/04/2026 12:00:00 ص";"04/04/2026 04:28:30 م";;"محل 2";"غطاء بواط 15*20ابو العز";"قطعه";"1.0000";"0.0000";"-";"0.0000";"6.5000";"6.5000000000000"
"True";"";" ";"ابراهيم الضويني ";"17";"04/04/2026 12:00:00 ص";"04/04/2026 04:28:30 م";;"محل 2";"عود دكت 1.5*1.5 سم";"ك";"8.0000";"0.0000";"-";"0.0000";"11.0000";"88.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"جهاز ريموت ليد RGB";"ك";"1.0000";"0.0000";"-";"0.0000";"47.0000";"47.0000000000000"
