جرد بضاعة 

"التحديد";"م";"المخزن";"الكود التلقائى";"كود الصنف";"الصنف";"الوحدة";"العبوة 2";"رصيد الوحدة الاولى";"رصيد الوحدة الثانية";"سعر التكلفة";"الاجمالى";"قائمة اسعار 1";"الاجمالى";"قائمة اسعار 2";"الاجمالى";"قائمة اسعار 3";"الاجمالى";"تاريخ تعديل سعر البيع"
"colchkbox";"moslsl";"fstor";"iddet";"fcodeunit";"fname";"funit";"fbkgun2";"fquntityun1";"fquntityun2";"fpr_costun1";"ftotcost";"fpr_r1";"ftotpr_r1";"fpr_r2";"ftotpr_r2";"fpr_r3";"ftotpr_r3";"flastdatesadr"
"True";"";"المخزن ";"210505";;"اب داون 2235/15 اسود*دهبي (فرعوني ) بلاستيك(RS)";"ك";"0.0000";"83";"0";"110.0000";"9130";"115.0000";"9545";"113.0000";"9379";"112.0000";"9296";"27/04/2026 11:06:01 م"
"True";"";"محل 1";"210505";;"اب داون 2235/15 اسود*دهبي (فرعوني ) بلاستيك(RS)";"ك";"0.0000";"5";"0";"110.0000";"550";"115.0000";"575";"113.0000";"565";"112.0000";"560";"27/04/2026 11:06:01 م"
"True";"";"محل 2";"210505";;"اب داون 2235/15 اسود*دهبي (فرعوني ) بلاستيك(RS)";"ك";"0.0000";"26";"0";"110.0000";"2860";"115.0000";"2990";"113.0000";"2938";"112.0000";"2912";"27/04/2026 11:06:01 م"
"True";"";"المخزن ";"221246";;"اب داون 2235/20 اسود*دهبي (فرعوني) هوم لايت";"ك";"0.0000";"1";"0";"270.0000";"270";"350.0000";"350";"335.0000";"335";"320.0000";"320";"13/03/2026 04:49:14 م"
"True";"";"محل 1";"221246";;"اب داون 2235/20 اسود*دهبي (فرعوني) هوم لايت";"ك";"0.0000";"1";"0";"270.0000";"270";"350.0000";"350";"335.0000";"335";"320.0000";"320";"13/03/2026 04:49:14 م"
"True";"";"المخزن ";"220703";;"اب داون 2236/4 (فرعوني) ( ابيض*دهبي) هوم لايت";"ك";"0.0000";"2";"0";"220.0000";"440";"260.0000";"520";"240.0000";"480";"230.0000";"460";"25/01/2026 01:43:41 م"
"True";"";"محل 1";"220703";;"اب داون 2236/4 (فرعوني) ( ابيض*دهبي) هوم لايت";"ك";"0.0000";"5";"0";"220.0000";"1100";"260.0000";"1300";"240.0000";"1200";"230.0000";"1150";"25/01/2026 01:43:41 م"
"True";"";"محل 1";"220702";;"اب داون 2236/4 (فرعوني) ( اسود*دهبي) هوم لايت";"ك";"0.0000";"8";"0";"220.0000";"1760";"260.0000";"2080";"240.0000";"1920";"230.0000";"1840";"25/01/2026 01:42:06 م"
"True";"";"المخزن ";"210519";;"اب داون 224/3 دهبي هوم لايت";"ك";"0.0000";"10";"0";"200.0000";"2000";"240.0000";"2400";"230.0000";"2300";"220.0000";"2200";"24/12/2025 03:29:45 م"
"True";"";"محل 2";"210519";;"اب داون 224/3 دهبي هوم لايت";"ك";"0.0000";"5";"0";"200.0000";"1000";"240.0000";"1200";"230.0000";"1150";"220.0000";"1100";"24/12/2025 03:29:45 م"
"True";"";"محل 2";"210516";;"اب داون 2248/2 Cooper هوم لايت";"ك";"0.0000";"8";"0";"95.0000";"760";"125.0000";"1000";"120.0000";"960";"115.0000";"920";"24/12/2025 03:23:47 م"
"True";"";"محل 1";"210516";;"اب داون 2248/2 Cooper هوم لايت";"ك";"0.0000";"2";"0";"95.0000";"190";"125.0000";"250";"120.0000";"240";"115.0000";"230";"24/12/2025 03:23:47 م"
"True";"";"المخزن ";"210516";;"اب داون 2248/2 Cooper هوم لايت";"ك";"0.0000";"27";"0";"95.0000";"2565";"125.0000";"3375";"120.0000";"3240";"115.0000";"3105";"24/12/2025 03:23:47 م"
"True";"";"محل 1";"210511";;"اب داون 2248/2 ابيض بلاستيك لايت داي";"ك";"0.0000";"6";"0";"30.0000";"180";"35.0000";"210";"35.0000";"210";"32.0000";"192";"01/03/2026 01:32:35 م"
"True";"";"المخزن ";"210511";;"اب داون 2248/2 ابيض بلاستيك لايت داي";"ك";"0.0000";"10";"0";"30.0000";"300";"35.0000";"350";"35.0000";"350";"32.0000";"320";"01/03/2026 01:32:35 م"
"True";"";"محل 2";"210511";;"اب داون 2248/2 ابيض بلاستيك لايت داي";"ك";"0.0000";"9";"0";"30.0000";"270";"35.0000";"315";"35.0000";"315";"32.0000";"288";"01/03/2026 01:32:35 م"
"True";"";"محل 2";"210546";;"اب داون 2248/2 ابيض هوم لايت";"ك";"0.0000";"4";"0";"100.0000";"400";"125.0000";"500";"120.0000";"480";"115.0000";"460";"06/04/2026 07:48:27 م"
"True";"";"المخزن ";"210546";;"اب داون 2248/2 ابيض هوم لايت";"ك";"0.0000";"11";"0";"100.0000";"1100";"125.0000";"1375";"120.0000";"1320";"115.0000";"1265";"06/04/2026 07:48:27 م"
"True";"";"المخزن ";"221151";;"اب داون 2248/2 اسود لايت داي";"ك";"0.0000";"125";"0";"35.0000";"4375";"40.0000";"5000";"39.0000";"4875";"38.0000";"4750";"02/05/2026 02:38:47 م"
"True";"";"محل 2";"221151";;"اب داون 2248/2 اسود لايت داي";"ك";"0.0000";"48";"0";"35.0000";"1680";"40.0000";"1920";"39.0000";"1872";"38.0000";"1824";"02/05/2026 02:38:47 م"
"True";"";"محل 1";"221151";;"اب داون 2248/2 اسود لايت داي";"ك";"0.0000";"26";"0";"35.0000";"910";"40.0000";"1040";"39.0000";"1014";"38.0000";"988";"02/05/2026 02:38:47 م"
"True";"";"المخزن ";"221350";;"اب داون 2248/2 اسود هوم لايت";"ك";"0.0000";"5";"0";"90.0000";"450";"115.0000";"575";"110.0000";"550";"105.0000";"525";"06/04/2026 07:49:44 م"
"True";"";"محل 1";"221350";;"اب داون 2248/2 اسود هوم لايت";"ك";"0.0000";"15";"0";"90.0000";"1350";"115.0000";"1725";"110.0000";"1650";"105.0000";"1575";"06/04/2026 07:49:44 م"
"True";"";"محل 2";"210518";;"اب داون 2248/2 دهبي بلاستيك لايت داي";"ك";"0.0000";"27";"0";"40.0000";"1080";"55.0000";"1485";"50.0000";"1350";"45.0000";"1215";"01/03/2026 01:36:06 م"
"True";"";"محل 1";"210518";;"اب داون 2248/2 دهبي بلاستيك لايت داي";"ك";"0.0000";"3";"0";"40.0000";"120";"55.0000";"165";"50.0000";"150";"45.0000";"135";"01/03/2026 01:36:06 م"
"True";"";"المخزن ";"210518";;"اب داون 2248/2 دهبي بلاستيك لايت داي";"ك";"0.0000";"10";"0";"40.0000";"400";"55.0000";"550";"50.0000";"500";"45.0000";"450";"01/03/2026 01:36:06 م"
"True";"";"المخزن ";"210547";;"اب داون 2248/2 دهبي هوم لايت";"ك";"0.0000";"20";"0";"100.0000";"2000";"125.0000";"2500";"120.0000";"2400";"110.0000";"2200";"28/12/2025 12:54:58 م"
"True";"";"محل 1";"210547";;"اب داون 2248/2 دهبي هوم لايت";"ك";"0.0000";"1";"0";"100.0000";"100";"125.0000";"125";"120.0000";"120";"110.0000";"110";"28/12/2025 12:54:58 م"
"True";"";"محل 2";"210514";;"اب داون 2248/2 روز جولد هوم لايت";"ك";"0.0000";"2";"0";"140.0000";"280";"160.0000";"320";"150.0000";"300";"150.0000";"300";"01/03/2026 01:44:16 م"
"True";"";"محل 1";"210514";;"اب داون 2248/2 روز جولد هوم لايت";"ك";"0.0000";"1";"0";"140.0000";"140";"160.0000";"160";"150.0000";"150";"150.0000";"150";"01/03/2026 01:44:16 م"
"True";"";"المخزن ";"221187";;"اب داون 2248/2 فضي (لامع/مط)";"ك";"0.0000";"36";"0";"140.0000";"5040";"180.0000";"6480";"170.0000";"6120";"160.0000";"5760";"27/02/2026 12:50:49 ص"
"True";"";"محل 1";"221186";;"اب داون 2248/4 Cooper هوم لايت";"ك";"0.0000";"2";"0";"140.0000";"280";"180.0000";"360";"170.0000";"340";"160.0000";"320";"26/02/2026 01:53:13 م"
"True";"";"المخزن ";"221186";;"اب داون 2248/4 Cooper هوم لايت";"ك";"0.0000";"8";"0";"140.0000";"1120";"180.0000";"1440";"170.0000";"1360";"160.0000";"1280";"26/02/2026 01:53:13 م"
"True";"";"محل 1";"210515";;"اب داون 2248/4 ابيض بلاستيك لايت داي";"ك";"0.0000";"1";"0";"42.0000";"42";"70.0000";"70";"65.0000";"65";"60.0000";"60";"24/12/2025 03:21:24 م"
"True";"";"محل 2";"210515";;"اب داون 2248/4 ابيض بلاستيك لايت داي";"ك";"0.0000";"1";"0";"42.0000";"42";"70.0000";"70";"65.0000";"65";"60.0000";"60";"24/12/2025 03:21:24 م"
"True";"";"محل 1";"210554";;"اب داون 2248/4 ابيض هوم لايت";"ك";"0.0000";"2";"0";"120.0000";"240";"165.0000";"330";"140.0000";"280";"130.0000";"260";"28/12/2025 01:27:38 م"
"True";"";"المخزن ";"210554";;"اب داون 2248/4 ابيض هوم لايت";"ك";"0.0000";"10";"0";"120.0000";"1200";"165.0000";"1650";"140.0000";"1400";"130.0000";"1300";"28/12/2025 01:27:38 م"
"True";"";"محل 2";"210554";;"اب داون 2248/4 ابيض هوم لايت";"ك";"0.0000";"5";"0";"120.0000";"600";"165.0000";"825";"140.0000";"700";"130.0000";"650";"28/12/2025 01:27:38 م"
"True";"";"محل 1";"220699";;"اب داون 2248/4 اسود هوم لايت";"ك";"0.0000";"1";"0";"115.0000";"115";"150.0000";"150";"145.0000";"145";"140.0000";"140";"25/01/2026 01:32:52 م"
"True";"";"محل 2";"210512";;"اب داون 2248/4 دهبي هوم لايت";"ك";"0.0000";"6";"0";"140.0000";"840";"185.0000";"1110";"165.0000";"990";"155.0000";"930";"24/12/2025 03:13:30 م"
"True";"";"المخزن ";"220700";;"اب داون 2248/4 روز جولد هوم لايت";"ك";"0.0000";"5";"0";"240.0000";"1200";"300.0000";"1500";"285.0000";"1425";"0.0000";"0";"25/01/2026 01:35:08 م"
"True";"";"محل 1";"220700";;"اب داون 2248/4 روز جولد هوم لايت";"ك";"0.0000";"1";"0";"240.0000";"240";"300.0000";"300";"285.0000";"285";"0.0000";"0";"25/01/2026 01:35:08 م"
"True";"";"محل 1";"220701";;"اب داون 2248/6 ابيض هوم لايت";"ك";"0.0000";"1";"0";"140.0000";"140";"200.0000";"200";"180.0000";"180";"165.0000";"165";"25/01/2026 01:38:19 م"
"True";"";"محل 1";"220957";;"اب داون 2256/4 فرعوني اسود*دهبي لايت داي";"ك";"0.0000";"10";"0";"90.0000";"900";"120.0000";"1200";"115.0000";"1150";"110.0000";"1100";"27/04/2026 10:45:26 م"
"True";"";"المخزن ";"220957";;"اب داون 2256/4 فرعوني اسود*دهبي لايت داي";"ك";"0.0000";"4";"0";"90.0000";"360";"120.0000";"480";"115.0000";"460";"110.0000";"440";"27/04/2026 10:45:26 م"
"True";"";"المخزن ";"221205";;"اب داون 2266/6 اسود هوم لايت";"ك";"0.0000";"4";"0";"170.0000";"680";"250.0000";"1000";"240.0000";"960";"230.0000";"920";"02/03/2026 04:19:59 م"
"True";"";"المخزن ";"220722";;"اب داون 2312 جرين لايت";"ك";"0.0000";"1";"0";"300.0000";"300";"340.0000";"340";"335.0000";"335";"330.0000";"330";"14/04/2026 08:38:43 م"
"True";"";"محل 1";"220722";;"اب داون 2312 جرين لايت";"ك";"0.0000";"6";"0";"300.0000";"1800";"340.0000";"2040";"335.0000";"2010";"330.0000";"1980";"14/04/2026 08:38:43 م"
"True";"";"محل 1";"220721";;"اب داون 2408/2 جرين لايت";"ك";"0.0000";"3";"0";"235.0000";"705";"300.0000";"900";"275.0000";"825";"265.0000";"795";"25/01/2026 04:01:04 م"
"True";"";"المخزن ";"220721";;"اب داون 2408/2 جرين لايت";"ك";"0.0000";"19";"0";"235.0000";"4465";"300.0000";"5700";"275.0000";"5225";"265.0000";"5035";"25/01/2026 04:01:04 م"
"True";"";"المخزن ";"220723";;"اب داون 2409 جرين لايت";"ك";"0.0000";"4";"0";"245.0000";"980";"285.0000";"1140";"280.0000";"1120";"275.0000";"1100";"14/04/2026 08:38:20 م"
"True";"";"محل 1";"220723";;"اب داون 2409 جرين لايت";"ك";"0.0000";"7";"0";"245.0000";"1715";"285.0000";"1995";"280.0000";"1960";"275.0000";"1925";"14/04/2026 08:38:20 م"
"True";"";"المخزن ";"220720";;"اب داون 2410/2 جرين لايت";"ك";"0.0000";"22";"0";"235.0000";"5170";"300.0000";"6600";"275.0000";"6050";"265.0000";"5830";"25/01/2026 04:00:30 م"
"True";"";"محل 1";"220720";;"اب داون 2410/2 جرين لايت";"ك";"0.0000";"4";"0";"235.0000";"940";"300.0000";"1200";"275.0000";"1100";"265.0000";"1060";"25/01/2026 04:00:30 م"
"True";"";"المخزن ";"220717";;"اب داون 2435/4 جرين لايت";"ك";"0.0000";"1";"0";"190.0000";"190";"260.0000";"260";"250.0000";"250";"235.0000";"235";"25/01/2026 03:56:25 م"
"True";"";"محل 1";"220717";;"اب داون 2435/4 جرين لايت";"ك";"0.0000";"2";"0";"190.0000";"380";"260.0000";"520";"250.0000";"500";"235.0000";"470";"25/01/2026 03:56:25 م"
"True";"";"محل 1";"220725";;"اب داون 2539/1 جرين لايت";"ك";"0.0000";"1";"0";"265.0000";"265";"325.0000";"325";"300.0000";"300";"290.0000";"290";"25/01/2026 04:10:01 م"
"True";"";"المخزن ";"220725";;"اب داون 2539/1 جرين لايت";"ك";"0.0000";"8";"0";"265.0000";"2120";"325.0000";"2600";"300.0000";"2400";"290.0000";"2320";"25/01/2026 04:10:01 م"
"True";"";"محل 1";"220718";;"اب داون 2551/4 جرين لايت";"ك";"0.0000";"3";"0";"218.0000";"654";"300.0000";"900";"280.0000";"840";"260.0000";"780";"25/01/2026 03:57:51 م"
"True";"";"المخزن ";"220718";;"اب داون 2551/4 جرين لايت";"ك";"0.0000";"6";"0";"218.0000";"1308";"300.0000";"1800";"280.0000";"1680";"260.0000";"1560";"25/01/2026 03:57:51 م"
